model,target,feature_set,split,mae,rmse,r2,pearson,spearman
Mean Baseline,total_UPDRS,voice_only,validation,4.734722583796841,6.15173013245765,-0.05651603922023174,-5.359234798867096e-16,
Random Forest,total_UPDRS,voice_only,validation,5.525905704335022,6.983115419063936,-0.36138193814683484,0.20170854395831608,
Tuned Random Forest,total_UPDRS,voice_only,validation,5.657260047204764,7.156647237971695,-0.4298838641823075,0.06003443868700178,
Tuned AdaBoost,total_UPDRS,voice_only,validation,5.770610854589226,7.274252742087427,-0.4772646880840905,-0.10860302168934423,
AdaBoost,total_UPDRS,voice_only,validation,5.806263746869132,7.323392717865989,-0.4972909224088504,-0.12943502275112062,
KNN Regressor,total_UPDRS,voice_only,validation,6.448464979847738,8.586836281921336,-1.0584859598257643,0.24726258008746177,
Decision Tree,total_UPDRS,voice_only,validation,6.498470303612602,8.058300989696855,-0.8128777288627917,0.12667069364281233,
Linear Regression,total_UPDRS,voice_only,validation,8.056846867052109,9.947686950859998,-1.7626493369468839,0.006123714746431278,
