model,target,feature_set,best_parameters,cv_mean_mae,validation_mae,validation_rmse,validation_r2
Random Forest,total_UPDRS,voice_only,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 120}",10.445561895495683,5.657260047204764,7.156647237971695,-0.4298838641823075
AdaBoost,total_UPDRS,voice_only,"{'estimator__max_depth': 2, 'estimator__min_samples_leaf': 10, 'learning_rate': 0.5, 'n_estimators': 60}",10.156176507607087,5.770610854589226,7.274252742087427,-0.4772646880840905
