split_type,note,mae,rmse,r2,pearson,spearman
group_by_subject,main_result,7.6878726114878475,9.214721905972628,-0.011694886131337512,0.3296589162674369,0.0016359478177400627
random_row_split,diagnostic_only_subject_leakage_possible,6.613916833375593,8.52309745935729,0.33231648484512555,0.5786709389878093,0.04597244932023166
