model,target,feature_set,split,mae,rmse,r2,pearson,spearman,subjects
Random Forest fixed,total_UPDRS,voice_only,validation,5.525905704335022,6.983115419063936,-0.36138193814683484,0.20170854395831608,,7
Random Forest fixed,total_UPDRS,voice_only,test,7.6878726114878475,9.214721905972628,-0.011694886131337512,0.3296589162674369,0.0016359478177400627,7
Random Forest fixed,total_UPDRS,voice_plus_context,validation,7.940013547402211,9.3264372554215,-1.4283601060446336,0.06483189465431552,,7
Random Forest fixed,total_UPDRS,voice_plus_context,test,10.837569771216456,13.623528121607814,-1.211384563882734,0.15645633269935535,-0.029889965095847463,7
