severity_bin,rows,true_min,true_max,mae,rmse,r2
low,330,10.646,18.698,10.560820001983087,11.78695285775459,-31.639632237524935
medium,327,18.979,26.961,4.695980076089643,5.48547980333464,-7.214483596971066
high,322,26.963,44.761,7.78189814009587,9.231449735932491,-1.3331574922454021
